channel_id,channel_title,subscribers,thumbnail,category,subscribers_numeric
UCGdtgEVPp_jVcqMQh-jnDmQ,Dancing Magic Guy,2,https://yt3.ggpht.com/ytc/AIdro_lYlzdPJNc-JzJIWoGWZ3zynQMpWtrNscPsoObMgdhQ7Q=s88-c-k-c0x00ffffff-no-rj,@dancingmagicguy5520,2
UCd4FmcWIVdWAy0-Q8OJBloQ,사나고 Sanago,4070000,https://yt3.ggpht.com/ytc/AIdro_nN-7Vdy0T2PEWo5palhhFWXuNaDYqGDlLYX_FR-96qbmQa=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology)",4070000
UCrPUg54jUy1T_wII9jgdRbg,Chris Ramsay,7100000,https://yt3.ggpht.com/6AGI5gkzdd22EXhRNWRsGvVkrpY3Rl67aitMn4T_W9LMe73vNDcea9M0c2MJtzMBZtaiHsvloR8=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology)",7100000
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,https://yt3.ggpht.com/vik8mAiwHQbXiFyKfZ3__p55_VBdGvwxPpuPJBBwdbF0PjJxikXhrP-C3nLQAMAxGNd_-xQCIg=s88-c-k-c0x00ffffff-no-rj,"Video game culture, Lifestyle (sociology)",110000000
UC1V-DYqsaj764uBis9-UDug,Foureyes Furniture,1370000,https://yt3.ggpht.com/2OxQIVhmJps7hkRUOD9UGBScnhi4MylJBW_JeBS9iwuHLQ9rUiyFPGqbKjmKudausgfci9Rj_Q=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology)",1370000
UCYQT13AtrJC0gsM1far_zJg,FlyingKitty,3310000,https://yt3.ggpht.com/ytc/AIdro_kuFhTjtpjurovGP-Z-IUUvN4OaegviaJoCCDlom2T-h8s=s88-c-k-c0x00ffffff-no-rj,"Action game, Humour, Action-adventure game, Entertainment, Music, Video game culture",3310000
UCvUmwreRrbxeR1mbmojj8fg,SomeThingElseYT,4370000,https://yt3.ggpht.com/FSGv-bMvcxcprCIppViTRdqPqsb0ZhT48zZXlL5-Tsxd6JKlUxM50DRYLM9K-Zec0al3-AHZCA=s88-c-k-c0x00ffffff-no-rj,"Film, Entertainment, Lifestyle (sociology)",4370000
UCO_2sDndYjnoPB6C5bHO4Ww,Bicycle Cards,43700,https://yt3.ggpht.com/66Tej5guBFQ78WGOZC_6kvTI65C6QdcHbLDFGOo9NlYjSFJm6dJouGWhYCnZ1_CU0Uzxzig5Rg=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Hobby",43700
UCewMTclBJZPaNEfbf-qYMGA,JackSucksAtLife,4610000,https://yt3.ggpht.com/bu29B2Crvfklt8nXuKZe6ekhRZvgCn2orZltPE2Z2sAvoqNsIJ21Ggjedl9oOqWzmx88X-pMaQ=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Lifestyle (sociology)",4610000
UChiKrz8bXsB3inE1YrXs8zg,Erik C 'Piano Man',259000,https://yt3.ggpht.com/ytc/AIdro_kSUwjkrmxInlSDjzl7H2usK_ltaTFVW6VHqNeDWvSNkfA=s88-c-k-c0x00ffffff-no-rj,"Music, Classical music",259000
UCFUsBdbrNe2a8tnVsxBwoZw,Plainrock124,2610000,https://yt3.ggpht.com/ytc/AIdro_lyyP41IVawY8PA8cSXcexhAyLtfMelyHuStLY-jQj8AKM=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Technology",2610000
UClq42foiSgl7sSpLupnugGA,D!NG,1830000,https://yt3.ggpht.com/ytc/AIdro_n5j5qpK_xBTulWIfRJ-AFXNN_AI9-51nYThgM_xLJ2Nkk=s88-c-k-c0x00ffffff-no-rj,"Knowledge, Lifestyle (sociology)",1830000
UCKzJFdi57J53Vr_BkTfN3uQ,Primer,1890000,https://yt3.ggpht.com/YicJ3lAVdXC5jI7SA7mnX7pPoULN2Gfgh_S4IgDPDPjLaeTx1vWiQeh-reCty2uWuoVK70K5Lg=s88-c-k-c0x00ffffff-no-rj,Knowledge,1890000
UCFnO28LNHSM6wSlY3nuFNNg,RockerBuck,369,https://yt3.ggpht.com/KcXwzAn6uSQQKDi6JXb0PFGY1hQJrxJq5kGS88snIRCgxVQZD2723pc2XBXp5lftr4VGQJu_Ad0=s88-c-k-c0x00ffffff-no-rj,"Simulation video game, Action-adventure game, Video game culture, Role-playing video game, Strategy video game",369
UCe2ZECKm30ODJp8gdyuOmlA,EquiStock,173,https://yt3.ggpht.com/IuqctCgN46RRam2NsdB7TcpOCr0ZXtbzQjqaKz7SbFRI6HV-YFcCJhidqlXypqR3TDxH5h2H_g=s88-c-k-c0x00ffffff-no-rj,@equistocks,173
UCcJPnenHZnR3AKjPz_Mm-AQ,ZelTek,2290,https://yt3.ggpht.com/cdFaRyRsl7-v3-8RQWXyG8zVll07XPVEiNT_lwzApdFaKcBV_-0lml_Ixc4LKdv3GMYQRh7s_w=s88-c-k-c0x00ffffff-no-rj,"Video game culture, Action game",2290
UCd3aWvyGFbNjsJV0S7G-tgw,Avdan,192000,https://yt3.ggpht.com/vfIGxPH2e1vwmLaK3qOwcUI9lXZMx_UA3kBFk9y2baELnBgicjZm_hbKtAyvcb1UrXzCsul78w=s88-c-k-c0x00ffffff-no-rj,"Technology, Lifestyle (sociology)",192000
UC8CsGpP6kVNrWeBVmlJ2UyA,Huggbees,2290000,https://yt3.ggpht.com/ytc/AIdro_lf0miWGsmAimJU3MFhOGwPIeqsVuM5-exYwthO3VYe_X0=s88-c-k-c0x00ffffff-no-rj,Entertainment,2290000
UCFAJeY6Tcv814wd-D87qWog,epic vines,58,https://yt3.ggpht.com/ytc/AIdro_keitlbtVBHF8D6alJU5AQhLLmvDGZXWArUQ7bJ1E2kNw=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Humour, Film",58
UCqh0vCTPDzxgeDQq-rrK7kA,Dank Chili,326,https://yt3.ggpht.com/w5vMY8AS5JJ_TxniohPvkaREEhyGYGUatP28GEfAREaOl4L66LDWD90VhFtMRthgaobpQq_9mA=s88-c-k-c0x00ffffff-no-rj,@dankchili,326
UCvGMGQC8gNkd4gwxSbABIlw,Quirkology,2430000,https://yt3.ggpht.com/ytc/AIdro_n1jCXcdsNOyKMwEITfK5XRZqCO7d1EVfahHroCx-mRvw=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Hobby",2430000
UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott,6600000,https://yt3.ggpht.com/1jXww-54zOdx2ksMQ2qDO-c7Jc3ud0BSuyS9WdG7mRwk8f-Ipj9hbWM4qYTqLXDvJw_yonQ0ig=s88-c-k-c0x00ffffff-no-rj,"Society, Lifestyle (sociology), Technology",6600000
UCt7E8Qpue2TU9Yh47vkEbsQ,Dolan Dark,1530000,https://yt3.ggpht.com/ytc/AIdro_nbw99kPS2ru2DFb6NDwZigOTQ6ihSsdDe0dtQu0WJfoA8=s88-c-k-c0x00ffffff-no-rj,"Music, Entertainment, Film",1530000
UC1A_Hq-N1dHhAvwg0QWC7Sw,Levi Niha,390000,https://yt3.ggpht.com/ytc/AIdro_kK6uLzNTzuWJchUXJlw1lAbeibvOcDpkQes5ts0XTFHw=s88-c-k-c0x00ffffff-no-rj,"Video game culture, Music, Electronic music, Lifestyle (sociology), Technology",390000
UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,58200000,https://yt3.ggpht.com/pb7oVdfZiAFzteNFdbg3kFmSpmkowWSm2qLCXuBMzrrfoPhf044fSOlJKPmjwDMrHOQEPDEJiA=s88-c-k-c0x00ffffff-no-rj,"Pop music, Electronic music, Music",58200000
UCFAiFyGs6oDiF1Nf-rRJpZA,Technoblade,21000000,https://yt3.ggpht.com/ytc/AIdro_lrcAGP3htFIscbmyoevZ_YtEXgpuW1YvtnCs5PY4CK0NA=s88-c-k-c0x00ffffff-no-rj,"Role-playing video game, Video game culture, Action-adventure game, Action game, Strategy video game",21000000
UCdJdEguB1F1CiYe7OEi3SBg,JonTronShow,6460000,https://yt3.ggpht.com/ytc/AIdro_mSrXgDqI8wbFAqBf11i83MWuRa0aHwl-FPcWCpxdjNInU=s88-c-k-c0x00ffffff-no-rj,"Film, Entertainment, Video game culture, Lifestyle (sociology)",6460000
UCI_U_c9qY4PgFNRUJ9uYc7Q,CryptoITA,1020,https://yt3.ggpht.com/ytc/AIdro_mZ1sEc5jRl38c5HuAtDlkBX_nABXFKB2tmb6XaRcF8UA=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Knowledge, Technology",1020
UClr5IfA4muWgdFb7TXWQiGw,Byron Reyes,1700,https://yt3.ggpht.com/wmhRQqLwLoqAg2o_G8Mgp_DxB-BvZMm7JvDCvnZbYVSosjp76Q9ZehjNKlgoKwWDptz4XiUe=s88-c-k-c0x00ffffff-no-rj,"Role-playing video game, Action-adventure game, Video game culture, Action game, Simulation video game",1700
